TimeStamp,Frequency,feeling_positive,feeling_negative,Class
15,3,3,0,Reader_1_6.csv
15,2,2,0,Reader_1_7.csv
15,0,0,0,Reader_1_8.csv
15,0,0,0,Reader_1_9.csv
15,9,9,0,Reader_2_1.csv
15,1,1,0,Reader_2_10.csv
15,5,1,4,Reader_2_11.csv
15,19,13,6,Reader_2_12.csv
15,1,1,0,Reader_2_2.csv
15,9,3,6,Reader_2_3.csv
15,2,0,2,Reader_2_4.csv
15,0,0,0,Reader_2_5.csv
15,0,0,0,Reader_2_6.csv
15,0,0,0,Reader_2_7.csv
15,1,1,0,Reader_2_8.csv
15,0,0,0,Reader_2_9.csv
15,78,57,21,reader_3_1.csv
15,63,52,11,Reader_3_2.csv
15,24,16,8,Reader_3_3.csv
15,24,16,8,Reader_3_4.csv
15,13,12,1,Reader_3_5.csv
15,16,12,4,Reader_3_6.csv
15,8,7,1,Reader_3_7.csv
16,26,14,12,Reader_1_1.csv
16,2,2,0,Reader_1_10.csv
16,8,5,3,Reader_1_11.csv
16,2,2,0,Reader_1_12.csv
16,3,2,1,Reader_1_2.csv
16,3,2,1,Reader_1_3.csv
16,0,0,0,Reader_1_4.csv
16,23,19,4,Reader_1_5.csv
16,3,3,0,Reader_1_6.csv
16,2,2,0,Reader_1_7.csv
16,0,0,0,Reader_1_8.csv
16,0,0,0,Reader_1_9.csv
16,10,9,1,Reader_2_1.csv
16,1,1,0,Reader_2_10.csv
16,5,1,4,Reader_2_11.csv
16,11,8,3,Reader_2_12.csv
16,1,1,0,Reader_2_2.csv
16,9,3,6,Reader_2_3.csv
16,2,1,1,Reader_2_4.csv
16,0,0,0,Reader_2_5.csv
16,1,1,0,Reader_2_6.csv
16,0,0,0,Reader_2_7.csv
16,1,1,0,Reader_2_8.csv
16,0,0,0,Reader_2_9.csv
16,79,59,20,reader_3_1.csv
16,61,50,11,Reader_3_2.csv
16,21,15,6,Reader_3_3.csv
16,21,15,6,Reader_3_4.csv
16,13,11,2,Reader_3_5.csv
16,19,13,6,Reader_3_6.csv
16,8,7,1,Reader_3_7.csv
17,27,15,12,Reader_1_1.csv
17,2,2,0,Reader_1_10.csv
17,9,5,4,Reader_1_11.csv
17,0,0,0,Reader_1_12.csv
17,3,2,1,Reader_1_2.csv
17,2,1,1,Reader_1_3.csv
17,0,0,0,Reader_1_4.csv
17,22,19,3,Reader_1_5.csv
17,2,2,0,Reader_1_6.csv
17,2,2,0,Reader_1_7.csv
17,0,0,0,Reader_1_8.csv
17,0,0,0,Reader_1_9.csv
17,9,8,1,Reader_2_1.csv
